Country,Job Role/Specialty,Total HC,Jan 2020 Remainder Gap,Feb 2020 Gap,Mar 2020 Gap,Apr 2020 Gap,May 2020 Gap,Jun 2020 Gap,Shortfall,Status
Argentina,Application Architect-Cloud Applications,2,0,-1,-1,-1,-1,-1,-5,GAP
Argentina,Application Architect-Cloud Microservices,,0,0,-1,-1,-1,-1,-4,GAP
Argentina,Application Architect-Cloud Modernization,,0,-1,-1,-1,-1,-1,-5,GAP
Argentina,Application Architect-Data Platforms,1,0,0,0,0,0,0,0,GAP
Argentina,Application Architect-Enterprise Content Management,0,0,0,0,0,0,0,0,GAP
Argentina,Application Architect-Google Cloud Modernization,1,0,0,0,0,0,0,0,GAP
Argentina,Application Architect-IBM Cloud Migration,,0,-2,-2,-2,-2,-2,-10,GAP
Argentina,Application Architect-Java & Web Technologies,9,0,0,0,0,0,0,0,GAP
Argentina,Application Architect-SAP ADM,2,0,0,0,0,0,0,0,GAP
Argentina,Application Architect-SAP Basis,1,0,0,0,0,0,0,0,GAP
Argentina,Application Architect-SAP Enterprise Integration,1,0,0,0,0,0,0,0,GAP
Argentina,Application Architect-SAP HANA Basis,2,0,0,0,0,0,0,0,GAP
Argentina,Application Architect-Salesforce,2,0,-3,-3,-3,-3,-3,-15,GAP
Argentina,Application Consultant-Business Functions,2,0,0,0,0,0,0,0,GAP
Argentina,Application Consultant-DevOps,2,0,-2,-2,-2,-2,-2,-10,GAP
Argentina,Application Consultant-IBM Cloud Migration,,0,-3,-3,-3,-3,-3,-15,GAP
Argentina,Application Developer-Cloud Microservices,,0,-4,-4,-4,-4,-4,-20,GAP
Argentina,Application Developer-Cloud Migration,,-2,-2,-4,-5,-5,-5,-23,GAP
Argentina,Application Developer-Cloud Modernization,2,0,0,0,0,0,0,0,GAP
Argentina,Application Developer-Cloud User Interface,2,0,0,0,0,0,0,0,GAP
Argentina,Application Developer-Cognitive Application Automation,,0,-5,-5,-5,-4,-4,-23,GAP
Argentina,Application Developer-DBMS,4,0,0,0,0,0,0,0,GAP
Argentina,Application Developer-DevOps,3,0,0,0,0,0,0,0,GAP
Argentina,Application Developer-EAI,4,0,0,0,0,0,0,0,GAP
Argentina,Application Developer-Enterprise Platforms,,0,-7,-7,-7,-7,-7,-35,GAP
Argentina,Application Developer-IBM Cloud Microservices,3,1,1,1,1,1,1,6,GLUT
Argentina,Application Developer-IBM Cloud Migration,,0,-11,-11,-11,-11,-11,-55,GAP
Argentina,Application Developer-IBM Cloud Modernization,2,0,0,0,0,0,0,0,GAP
Argentina,Application Developer-IBM Cloud User Interface,2,0,0,0,0,0,0,0,GAP
Argentina,Application Developer-IT Service Management,1,0,0,0,0,0,0,0,GAP
Argentina,Application Developer-Industry Packages,1,0,0,0,0,0,0,0,GAP
Argentina,Application Developer-Java & Web Technologies,87,2,0,-5,2,9,11,19,GLUT
Argentina,Application Developer-Java Full Stack,1,0,-3,-4,-4,-4,-4,-19,GAP
Argentina,Application Developer-Maximo,,0,-2,-4,-3,-2,-2,-13,GAP
Argentina,Application Developer-Microsoft .NET,18,1,0,0,0,0,0,1,GLUT
Argentina,Application Developer-Microsoft Analytics,4,0,0,0,0,0,0,0,GAP
Argentina,Application Developer-Open Source,3,0,0,0,0,0,0,0,GAP
Argentina,Application Developer-Process Management (BPM),1,0,-4,-4,-14,-14,-13,-49,GAP
Argentina,Application Developer-RPA,1,0,0,0,1,1,1,3,GLUT
Argentina,Application Developer-Red Hat Cloud Modernization,5,0,0,0,0,0,0,0,GAP
Argentina,Application Developer-Red Hat Cloud User Interface,1,0,0,0,0,0,0,0,GAP
Argentina,Application Developer-SAP ABAP,34,0,-2,-3,-2,0,1,-6,GAP
Argentina,Application Developer-SAP ABAP HANA,4,0,0,0,0,0,0,0,GAP
Argentina,Application Developer-SAP Enterprise Integration,1,0,0,0,0,0,0,0,GAP
Argentina,Application Developer-SAP NextGen CloudDev,,0,0,-1,-1,-1,-1,-4,GAP
Argentina,Application Developer-SAP NextGen UX & Mobile,1,0,0,0,0,0,0,0,GAP
Argentina,Application Developer-Salesforce,8,0,-14,-17,-17,-16,-15,-79,GAP
Argentina,Application Developer-Siebel Conversion,5,0,0,0,0,0,0,0,GAP
Argentina,Application Developer-System i,2,0,0,0,0,0,0,0,GAP
Argentina,Application Developer-zOS,51,1,1,1,1,1,8,13,GLUT
Argentina,Business Advisor-Workforce Management,0,0,0,0,0,0,0,0,GAP
Argentina,Business Analyst-ADM,58,4,3,3,5,6,7,28,GLUT
Argentina,Business Operations Professional-Business Process Management,1,0,0,0,0,0,0,0,GAP
